task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
195	37/d42e19	2491767	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab33_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:25.629	9m 25s	1s	105.1%	1.5 MB	22.8 MB	102.8 KB	639 B
193	69/482d46	2491769	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab33_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:25.805	9m 25s	0ms	100.6%	1.5 MB	22.8 MB	105.9 KB	635 B
190	88/d95223	2491768	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab33_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:25.713	9m 25s	0ms	81.8%	1.5 MB	22.8 MB	125.8 KB	3.9 KB
194	c8/185e26	2491771	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab33_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:25.988	9m 25s	0ms	103.0%	1.5 MB	22.8 MB	102.7 KB	837 B
191	3f/2a6fdf	2491770	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab33_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:25.902	9m 25s	0ms	103.9%	1.5 MB	22.8 MB	125.8 KB	638 B
202	f4/5c17c4	2491778	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab57_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:41:40.738	9m 10s	0ms	84.9%	1.3 MB	4.3 MB	106.6 KB	640 B
212	41/fec0d5	2491786	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:45.723	9m 5s	0ms	95.2%	1.5 MB	22.8 MB	103.3 KB	634 B
209	8b/a6c77f	2491787	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:45.816	9m 5s	0ms	86.5%	1.5 MB	22.8 MB	112.2 KB	2.1 KB
197	22/1c6f14	2491773	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab29_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:35.642	9m 20s	1s	80.3%	1.5 MB	22.8 MB	122.3 KB	3.6 KB
204	04/98d053	2491777	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab57_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:41:40.647	9m 15s	0ms	94.3%	1.5 MB	22.8 MB	114.3 KB	645 B
206	16/4b25a1	2491780	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:40.906	9m 20s	5s	4.3%	50.3 MB	1.2 GB	124.2 KB	664 B
182	65/eca88f	2491724	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab31_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:41:16.375	9m 54s	8s	2.9%	50.9 MB	1.2 GB	107.2 KB	1.4 KB
205	72/c526f8	2491779	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab57_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:41:40.822	9m 30s	7s	3.3%	49.7 MB	1.2 GB	114.1 KB	2.6 KB
198	c6/306704	2491772	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab29_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:35.550	9m 40s	6s	3.6%	51.2 MB	1.2 GB	104.5 KB	1.2 KB
196	47/782fac	2491775	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:35.812	9m 40s	5s	3.9%	49.2 MB	1.2 GB	122.2 KB	636 B
201	31/deaa76	2491782	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab57_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:41:41.089	9m 34s	6s	3.8%	49.2 MB	1.2 GB	108.8 KB	643 B
207	c8/f2ce80	2491776	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab29_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:40.538	9m 40s	5s	4.3%	51.2 MB	1.2 GB	124 KB	4.4 KB
203	27/0b2bc8	2491783	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab57_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:41:41.173	9m 39s	5s	4.5%	49 MB	1.2 GB	106.2 KB	1.4 KB
215	3f/a6dfa5	2491785	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:45.631	9m 35s	5s	4.2%	49.9 MB	1.2 GB	115.7 KB	2.6 KB
208	16/62f185	2491784	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:45.548	9m 35s	5s	4.0%	14.9 MB	1.2 GB	112.2 KB	641 B
199	5e/f67411	2491774	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab23_test)	COMPLETED	0	2025-06-15 23:41:35.729	9m 50s	5s	4.2%	50 MB	1.2 GB	104.3 KB	638 B
200	cd/6f439b	2491781	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab57_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:41:41.006	9m 44s	5s	4.6%	49 MB	1.2 GB	108.8 KB	1.7 KB
214	af/8814c3	2491789	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:45.999	13m 5s	1s	27.8%	1.5 MB	22.8 MB	115.8 KB	643 B
219	be/fdef2a	2491788	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:45.913	13m 5s	1s	24.6%	1.5 MB	22.8 MB	111.8 KB	2.2 KB
210	24/8bdb13	2491790	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:46.082	13m 4s	1s	25.5%	1.5 MB	22.8 MB	110.3 KB	641 B
213	e5/d13582	2491792	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:46.274	13m 4s	2s	14.8%	2.4 MB	22.8 MB	103.5 KB	948 B
211	42/e73636	2491791	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:46.174	13m 4s	1s	21.9%	2.4 MB	22.8 MB	110.3 KB	2 KB
217	b9/b2b1cc	2491793	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:46.358	13m 4s	0ms	100.8%	1.5 MB	22.8 MB	107 KB	1.7 KB
218	15/48c991	2491794	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:46.441	13m 4s	0ms	100.9%	1.5 MB	22.8 MB	111.8 KB	644 B
216	ea/6762fd	2491795	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab52_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:46.525	13m 4s	0ms	100.8%	1.5 MB	22.8 MB	107 KB	640 B
226	7d/a6cf75	2491798	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:50.552	13m	0ms	80.4%	1.5 MB	22.8 MB	111.3 KB	641 B
220	6d/6219d5	2491800	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:50.766	13m 5s	0ms	83.9%	1.5 MB	22.8 MB	139.2 KB	5.6 KB
223	3e/dd4ebc	2491801	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:50.869	13m 5s	0ms	102.1%	1.5 MB	22.8 MB	157.4 KB	638 B
227	93/75ab16	2491803	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:51.053	13m 4s	0ms	106.4%	1.5 MB	22.8 MB	111.2 KB	2.1 KB
